================================================================================
РЕЗУЛЬТАТЫ ПОИСКА БЛИЖАЙШИХ СОСЕДЕЙ (алгоритм KD-Tree, данные очищены от NaN)
================================================================================

--- 🎯 10 ближайших уникальных соседей для: ZTF22abegjtx ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF21aaqqlyw         0.1878              
2     ZTF18abncwah         0.1901              
3     ZTF18abenqts         0.1986              
4     ZTF18abeocrt         0.2023              
5     ZTF19acolasb         0.2184              
6     ZTF22aafpgzk         0.2227              
7     ZTF23aablqzq         0.2383              
8     ZTF20acuxaln         0.2383              
9     ZTF22aaofrzs         0.2404              
10    ZTF22aacupuv         0.2431              

--- 🎯 10 ближайших уникальных соседей для: ZTF23aapyidj ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18aberlag         0.4876              
2     ZTF18absscdu         0.5038              
3     ZTF19aanveac         0.5338              
4     ZTF17aabvong         0.5377              
5     ZTF18abboght         0.5554              
6     ZTF18aaqmvwe         0.5750              
7     ZTF18abobdul         0.5890              
8     ZTF22aacinif         0.5891              
9     ZTF19aaeipzj         0.5917              
10    ZTF19aailrdd         0.5960              

--- 🎯 10 ближайших уникальных соседей для: ZTF23abohtqf ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18aachdvr         0.8500              
2     ZTF18aadlbcv         0.9234              
3     ZTF21aauuvlp         0.9443              
4     ZTF23abtmjmb         0.9629              
5     ZTF25aafvcjp         0.9683              
6     ZTF19aalaqug         0.9724              
7     ZTF24aaxnpgc         0.9890              
8     ZTF24abdrfsx         0.9941              
9     ZTF18abyyqsw         0.9993              
10    ZTF19aaufxps         1.0035              

--- 🎯 10 ближайших уникальных соседей для: ZTF24aajvvhj ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF23aazwytj         1.6397              
2     ZTF25aapnvqx         1.9214              
3     ZTF23aaxpfpa         1.9735              
4     ZTF24abitpxy         1.9967              
5     ZTF23aaqqdhs         2.0410              
6     ZTF18aayedoc         2.0980              
7     ZTF24abprtdf         2.1314              
8     ZTF24aaotmdk         2.1350              
9     ZTF24abodqaj         2.1627              
10    ZTF24abmkoqc         2.1839              

--- 🎯 10 ближайших уникальных соседей для: ZTF24aakaiha ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF19aabkvms         0.5492              
2     ZTF18acacnlg         0.5568              
3     ZTF18adkftbl         0.5761              
4     ZTF19addjdvj         0.6370              
5     ZTF24aaxfupa         0.6454              
6     ZTF20aawgjms         0.6534              
7     ZTF18acvpcwl         0.6535              
8     ZTF21absqexg         0.6548              
9     ZTF25aaqkfhk         0.6593              
10    ZTF25aaegrus         0.6604              

--- 🎯 10 ближайших уникальных соседей для: ZTF24aamfius ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF20acpmoct         0.8063              
2     ZTF24aafbbfy         0.8534              
3     ZTF20abhfvst         1.0255              
4     ZTF19acjweyl         1.0346              
5     ZTF24abalikw         1.0361              
6     ZTF23aaptdib         1.0438              
7     ZTF23aapysii         1.0557              
8     ZTF25abcmygl         1.0592              
9     ZTF25aapkacg         1.0747              
10    ZTF19accpmmp         1.0966              

--- 🎯 10 ближайших уникальных соседей для: ZTF24aatxshz ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF22abggitl         0.4047              
2     ZTF22aajcscn         0.4286              
3     ZTF21aalgusi         0.4617              
4     ZTF18abmorrn         0.5004              
5     ZTF23aaghqyh         0.5464              
6     ZTF18acejdhv         0.5473              
7     ZTF18abuemga         0.5807              
8     ZTF19aczrrus         0.5815              
9     ZTF18abrtmwp         0.6218              
10    ZTF18aaxluem         0.6471              

--- 🎯 10 ближайших уникальных соседей для: ZTF24abfaake ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18aazupqv         0.8091              
2     ZTF24aaqdeku         0.9226              
3     ZTF24abqaeai         0.9404              
4     ZTF24abccail         1.0359              
5     ZTF18aayebrn         1.0427              
6     ZTF24aaosrdt         1.0894              
7     ZTF18abbwryb         1.1064              
8     ZTF18abcspnn         1.1468              
9     ZTF18aawmbhr         1.1494              
10    ZTF24abgqftl         1.1553              

================================================================================
