================================================================================
РЕЗУЛЬТАТЫ ПОИСКА БЛИЖАЙШИХ СОСЕДЕЙ (алгоритм KD-Tree, данные очищены от NaN)
================================================================================

--- 🎯 10 ближайших уникальных соседей для: ZTF18aboacjl ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF17aabkygn         8.1887              
2     ZTF21aavnngi         8.6623              
3     ZTF18aahhxsc         9.6159              
4     ZTF17aabkyhn         9.7783              
5     ZTF17aabtjmc         9.7989              
6     ZTF19aacrazs         10.4964             
7     ZTF18aabzpwt         10.7982             
8     ZTF18adalkyr         11.1877             
9     ZTF20aaxnvwl         11.3258             
10    ZTF18aabeetp         12.0342             

--- 🎯 10 ближайших уникальных соседей для: ZTF18aajwgru ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF23aajsyzh         0.5018              
2     ZTF20abghsvj         0.5503              
3     ZTF20abgtqcj         0.5802              
4     ZTF18acesfqt         0.6045              
5     ZTF22abuajlg         0.6224              
6     ZTF23aaswqnv         0.6465              
7     ZTF21abezdhh         0.6539              
8     ZTF18ablprjh         0.6566              
9     ZTF19aaybkuq         0.6744              
10    ZTF24aaudbko         0.6828              

--- 🎯 10 ближайших уникальных соседей для: ZTF18abigrzf ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18abqfbhl         0.8634              
2     ZTF18abefqji         0.8871              
3     ZTF18abbrogf         0.9262              
4     ZTF18abetpdk         0.9713              
5     ZTF18abrsizj         0.9810              
6     ZTF18abgzcyj         0.9868              
7     ZTF18abrxljm         1.0004              
8     ZTF19aatyrce         1.0185              
9     ZTF19abzrckn         1.0250              
10    ZTF20abzaduj         1.0293              

--- 🎯 10 ближайших уникальных соседей для: ZTF18adibadz ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF19aazgufx         1.4106              
2     ZTF18admagdq         1.5120              
3     ZTF18admfxgo         1.6196              
4     ZTF18aazayzj         1.6453              
5     ZTF18abnotml         1.6593              
6     ZTF18abpfkfi         1.6615              
7     ZTF19aayymvz         1.6630              
8     ZTF19aattugq         1.6804              
9     ZTF18abdwgxk         1.7356              
10    ZTF18abjybdx         1.7420              

================================================================================
