================================================================================
РЕЗУЛЬТАТЫ ПОИСКА БЛИЖАЙШИХ СОСЕДЕЙ (алгоритм KD-Tree, данные очищены от NaN)
================================================================================

--- 🎯 10 ближайших уникальных соседей для: ZTF22abegjtx ---

Ранг  ObjectID             L2 Расстояние      Decision 
--------------------------------------------------
1     ZTF18abncwah         0.2161              –
2     ZTF20acuxaln         0.2387              –
3     ZTF23aablqzq         0.2541              –
4     ZTF19aarghka         0.2700              –
5     ZTF20abezxdt         0.2843              –
6     ZTF19abscstb         0.2850              –
7     ZTF19abhlztd         0.2900              –
8     ZTF22aanaxtu         0.2917              –
9     ZTF22aaofrzs         0.2988              –
10    ZTF18abesbws         0.3225              –

--- 🎯 10 ближайших уникальных соседей для: ZTF23aapyidj ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18aberlag         0.5153            LPV  
2     ZTF18abboght         0.5661            EW  
3     ZTF18absscdu         0.5714            BLLac  
4     ZTF19aanveac         0.5729            –  
5     ZTF18aaqmvwe         0.5904            –  
6     ZTF19aaeipzj         0.5957            AGN  
7     ZTF19aailrdd         0.5964            QSO  
8     ZTF22aacinif         0.6070            –  
9     ZTF21aaahypp         0.6377            QSO  
10    ZTF17aabvong         0.6574            SN Ia  

--- 🎯 10 ближайших уникальных соседей для: ZTF23abohtqf ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18aachdvr         0.8920          QSO     
2     ZTF18aadlbcv         0.9249          –    
3     ZTF21aauuvlp         0.9554          –    
4     ZTF23abtmjmb         0.9654          –    
5     ZTF19aalaqug         0.9767          –    
6     ZTF24aaxnpgc         0.9930          TDE/SN?    
7     ZTF24abdrfsx         1.0015          SN?    
8     ZTF19aaufxps         1.0059          AGN    
9     ZTF19abhzpkm         1.0122          VS    
10    ZTF24acacfhu         1.0165          SN IIn    

--- 🎯 10 ближайших уникальных соседей для: ZTF24aajvvhj ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18aayedoc         2.0987          M    
2     ZTF18acjflvi         2.1900          EA    
3     ZTF18abijvtk         2.2570          M    
4     ZTF23aadtwfs         2.2842          SN Ia    
5     ZTF18adlytjb         2.3002          YSO    
6     ZTF25aagekcj         2.3078          TDE? 
7     ZTF18adjzxrc         2.3187          M    
8     ZTF18adlrwgf         2.3220          N    
9     ZTF21acfmxeu         2.3536          SN Ia    
10    ZTF19aafnoaj         2.3544          M    

--- 🎯 10 ближайших уникальных соседей для: ZTF24aakaiha (SN Ia) ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF19aabkvms         0.5681          –    
2     ZTF18acacnlg         0.5857          –    
3     ZTF18adkftbl         0.5886          LPV    
4     ZTF24aaxfupa         0.6464          –    
5     ZTF20aawgjms         0.6552          –    
6     ZTF19abiqikc         0.6651          –    
7     ZTF19addjdvj         0.6716          –    
8     ZTF25aaqkfhk         0.6728          –    
9     ZTF21abcqkbt         0.6759          –    
10    ZTF21absqexg         0.6776          –    

--- 🎯 10 ближайших уникальных соседей для: ZTF24aamfius ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF20acpmoct         0.8095         TDE/SN?   
2     ZTF24aafbbfy         0.8596         –     
3     ZTF20abhfvst         1.0287         –     
4     ZTF24abalikw         1.0435         –     
5     ZTF23aaptdib         1.0447         –     
6     ZTF19acjweyl         1.0550         AGN     
7     ZTF23aapysii         1.0634         –     
8     ZTF25abcmygl         1.0651         –     
9     ZTF25aapkacg         1.0797         –     
10    ZTF19accpmmp         1.0970         –     

--- 🎯 10 ближайших уникальных соседей для: ZTF24aatxshz ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF22abggitl         0.4216        –      
2     ZTF22aajcscn         0.4436        TDE?      
3     ZTF18acejdhv         0.5517        TDE?      
4     ZTF23aaghqyh         0.5791        –      
5     ZTF18abuemga         0.5819        EW      
6     ZTF19aczrrus         0.5897        QSO      
7     ZTF18abmorrn         0.6012        EW      
8     ZTF18abrtmwp         0.6229        LPV      
9     ZTF22aaywysl         0.6581        M      
10    ZTF20abasfck         0.6880        –      

--- 🎯 10 ближайших уникальных соседей для: ZTF24abfaake ---

Ранг  ObjectID             L2 Расстояние       
--------------------------------------------------
1     ZTF18aazupqv         0.8110        LPV      
2     ZTF24abqaeai         0.9497        TDE?      
3     ZTF18aayebrn         1.0458        M      
4     ZTF18abbwryb         1.1076        LPV      
5     ZTF24aaqdeku         1.1462        SN?      
6     ZTF18aawmbhr         1.1511        M      
7     ZTF18abcspnn         1.1518        LPV      
8     ZTF18aavghog         1.1650        –      
9     ZTF25aaylisx         1.1898        –      
10    ZTF24aadfsca         1.1946        –      

================================================================================
